order_id,n_picks,touched_at_min,touched_at_max
56,22,2019-11-12 12:14:56,2019-11-12 12:47:08
57,2,2019-11-11 12:28:22,2019-11-11 12:31:30
58,5,2019-11-11 08:48:57,2019-11-11 09:13:02
59,4,2019-11-11 09:37:37,2019-11-11 10:06:29
60,43,2019-11-11 13:36:46,2019-11-11 14:10:38
61,11,2019-11-11 10:31:45,2019-11-11 10:37:08
62,7,2019-11-11 12:10:34,2019-11-11 12:20:25
63,16,2019-11-11 10:40:46,2019-11-11 10:58:27
64,6,2019-11-12 10:05:19,2019-11-12 10:14:24
65,14,2019-11-11 09:11:55,2019-11-11 09:18:37
66,8,2019-11-11 11:58:23,2019-11-11 12:16:50
67,9,2019-11-11 10:17:28,2019-11-11 10:27:54
68,40,2019-11-11 16:38:21,2019-11-11 17:03:00
69,81,2019-11-12 08:53:08,2019-11-12 09:41:57
70,38,2019-11-14 14:21:07,2019-11-14 16:52:18
71,32,2019-11-11 18:03:43,2019-11-11 18:40:59
72,38,2019-11-13 17:37:16,2019-11-13 17:59:46
73,21,2019-11-11 10:57:35,2019-11-11 11:14:27
74,44,2019-11-11 11:06:50,2019-11-11 12:00:27
75,33,2019-11-11 10:11:58,2019-11-11 10:25:58
76,84,2019-11-11 17:31:36,2019-11-11 18:44:41
77,14,2019-11-12 08:48:41,2019-11-12 09:07:24
78,37,2019-11-11 16:35:45,2019-11-11 17:14:38
79,20,2019-11-11 16:56:26,2019-11-11 17:13:11
80,34,2019-11-15 15:31:03,2019-11-15 16:31:51
81,13,2019-11-11 12:16:12,2019-11-11 12:24:12
82,28,2019-11-11 16:20:17,2019-11-11 16:38:34
83,19,2019-11-12 10:31:48,2019-11-12 10:42:38
84,11,2019-11-11 09:28:46,2019-11-11 09:32:38
85,57,2019-11-13 11:06:08,2019-11-13 11:44:45
86,18,2019-11-11 09:34:37,2019-11-11 09:59:26
87,4,2019-11-11 08:54:57,2019-11-11 08:56:46
88,25,2019-11-11 09:38:06,2019-11-11 10:10:38
89,64,2019-11-11 14:45:52,2019-11-11 15:45:41
90,35,2019-11-11 10:02:15,2019-11-11 10:26:25
91,21,2019-11-11 08:55:20,2019-11-11 09:33:26
92,42,2019-11-11 09:19:49,2019-11-11 10:32:22
93,18,2019-11-11 08:02:45,2019-11-11 08:37:44
94,34,2019-11-11 16:29:51,2019-11-11 16:41:29
95,20,2019-11-11 15:34:31,2019-11-11 16:04:43
96,30,2019-11-11 13:07:26,2019-11-11 14:58:40
97,32,2019-11-11 10:40:21,2019-11-11 11:00:07
98,20,2019-11-11 09:38:17,2019-11-11 09:49:53
99,24,2019-11-11 09:03:45,2019-11-11 09:28:29
100,9,2019-11-11 08:07:51,2019-11-11 08:28:40
101,10,2019-11-11 08:46:45,2019-11-11 09:02:26
102,49,2019-11-11 11:24:34,2019-11-11 12:12:14
103,39,2019-11-11 16:38:44,2019-11-11 17:14:32
104,7,2019-11-11 09:13:09,2019-11-11 09:18:30
105,30,2019-11-11 10:47:23,2019-11-11 11:33:47
106,24,2019-11-11 10:28:42,2019-11-11 11:19:51
107,13,2019-11-11 09:41:24,2019-11-11 09:58:09
108,17,2019-11-11 10:06:20,2019-11-11 10:21:43
109,4,2019-11-11 09:42:06,2019-11-11 09:43:24
110,42,2019-11-11 11:45:43,2019-11-11 12:28:19
111,4,2019-11-12 09:36:13,2019-11-12 09:40:13
112,22,2019-11-11 10:10:55,2019-11-11 10:32:41
113,29,2019-11-11 08:43:33,2019-11-11 09:11:29
114,29,2019-11-11 09:53:35,2019-11-11 10:25:46
115,17,2019-11-11 09:57:43,2019-11-11 10:04:56
116,62,2019-11-11 10:53:43,2019-11-11 11:51:40
117,3,2019-11-11 08:47:46,2019-11-11 08:52:52
118,19,2019-11-11 12:08:13,2019-11-11 12:24:31
119,20,2019-11-11 12:50:04,2019-11-11 13:23:37
120,19,2019-11-11 09:15:37,2019-11-11 09:36:17
121,10,2019-11-11 19:11:25,2019-11-11 19:26:01
122,9,2019-11-11 10:24:27,2019-11-11 10:35:05
123,29,2019-11-11 17:28:22,2019-11-11 18:09:14
124,31,2019-11-11 12:29:27,2019-11-11 12:50:20
125,30,2019-11-15 10:59:11,2019-11-15 11:22:08
126,13,2019-11-11 11:47:06,2019-11-11 12:32:34
127,22,2019-11-14 18:06:04,2019-11-14 18:22:11
128,33,2019-11-11 10:33:43,2019-11-11 11:41:37
129,42,2019-11-11 09:09:11,2019-11-11 09:38:41
130,10,2019-11-11 10:58:55,2019-11-11 11:15:37
131,31,2019-11-11 15:16:33,2019-11-11 15:42:33
132,34,2019-11-11 08:06:49,2019-11-11 08:34:22
133,51,2019-11-11 08:46:56,2019-11-11 09:22:54
134,65,2019-11-11 10:08:05,2019-11-11 11:08:47
135,67,2019-11-11 08:16:44,2019-11-11 09:42:36
136,13,2019-11-11 09:03:24,2019-11-11 09:19:29
137,22,2019-11-11 08:44:21,2019-11-11 09:00:54
138,33,2019-11-13 17:44:10,2019-11-13 18:25:12
139,31,2019-11-12 16:22:54,2019-11-12 16:51:16
140,6,2019-11-11 18:45:06,2019-11-11 18:48:14
141,17,2019-11-11 16:07:01,2019-11-11 16:28:47
142,64,2019-11-11 18:56:22,2019-11-11 19:42:57
143,44,2019-11-11 09:14:46,2019-11-11 10:06:56
144,23,2019-11-11 11:00:30,2019-11-11 11:21:01
145,27,2019-11-11 17:44:37,2019-11-11 18:20:38
146,15,2019-11-11 17:42:08,2019-11-11 18:08:15
147,9,2019-11-11 10:12:06,2019-11-11 10:25:43
148,27,2019-11-11 09:07:27,2019-11-11 09:31:25
149,27,2019-11-11 09:27:04,2019-11-11 10:05:53
150,32,2019-11-11 14:07:45,2019-11-11 14:45:08
151,39,2019-11-11 08:24:06,2019-11-11 09:33:40
152,6,2019-11-12 13:59:19,2019-11-12 14:13:43
153,39,2019-11-11 16:46:37,2019-11-11 17:13:11
154,23,2019-11-11 10:59:27,2019-11-11 11:17:24
155,6,2019-11-11 17:10:26,2019-11-11 17:12:32
156,24,2019-11-11 09:56:51,2019-11-11 10:11:36
157,13,2019-11-11 16:13:20,2019-11-11 16:24:45
158,39,2019-11-13 10:10:37,2019-11-13 11:17:19
159,38,2019-11-11 16:10:33,2019-11-11 17:01:00
160,19,2019-11-11 08:04:07,2019-11-11 08:28:41
161,9,2019-11-11 11:55:04,2019-11-11 12:06:41
162,42,2019-11-11 08:02:47,2019-11-11 08:26:09
163,14,2019-11-11 11:17:53,2019-11-11 11:32:33
164,14,2019-11-11 12:36:08,2019-11-11 12:54:07
165,46,2019-11-11 15:55:21,2019-11-11 17:08:53
166,32,2019-11-11 11:42:07,2019-11-11 12:08:52
167,25,2019-11-11 18:41:40,2019-11-11 19:00:32
168,44,2019-11-12 20:03:56,2019-11-12 20:27:22
169,26,2019-11-11 10:43:16,2019-11-11 11:20:28
170,54,2019-11-11 08:35:17,2019-11-11 09:15:37
171,8,2019-11-11 08:45:08,2019-11-11 08:48:58
172,25,2019-11-11 09:59:02,2019-11-11 10:17:46
173,24,2019-11-11 08:25:50,2019-11-11 09:21:13
174,14,2019-11-11 08:59:51,2019-11-11 09:12:46
175,15,2019-11-11 09:11:55,2019-11-11 09:54:09
176,22,2019-11-11 09:06:39,2019-11-11 09:16:25
177,10,2019-11-13 08:44:35,2019-11-13 09:27:47
178,11,2019-11-11 08:56:52,2019-11-11 09:06:56
179,39,2019-11-11 09:27:10,2019-11-11 09:56:25
180,9,2019-11-11 10:05:23,2019-11-11 10:10:49
181,10,2019-11-14 09:00:40,2019-11-14 09:13:25
182,45,2019-11-11 09:25:28,2019-11-11 10:03:17
183,13,2019-11-11 08:01:20,2019-11-11 08:33:50
184,6,2019-11-11 09:07:37,2019-11-11 09:15:37
185,2,2019-11-11 10:25:13,2019-11-11 10:43:31
186,6,2019-11-12 08:32:09,2019-11-12 09:10:49
187,22,2019-11-11 15:33:27,2019-11-11 15:48:08
188,28,2019-11-11 11:17:33,2019-11-11 11:42:47
189,41,2019-11-12 12:00:39,2019-11-12 12:26:55
190,3,2019-11-11 11:03:12,2019-11-11 11:04:41
191,47,2019-11-11 11:45:43,2019-11-11 12:23:28
192,30,2019-11-11 08:37:29,2019-11-11 08:57:05
193,19,2019-11-12 15:24:51,2019-11-12 15:40:45
194,8,2019-11-12 14:37:52,2019-11-12 15:12:45
195,25,2019-11-11 08:10:33,2019-11-11 08:38:51
196,40,2019-11-11 13:09:12,2019-11-11 13:43:27
197,34,2019-11-11 18:05:09,2019-11-11 18:44:07
198,62,2019-11-11 11:02:03,2019-11-11 12:04:16
199,27,2019-11-11 14:34:04,2019-11-11 14:44:04
200,28,2019-11-12 19:30:16,2019-11-12 19:54:34
201,30,2019-11-11 17:30:54,2019-11-11 18:05:13
202,55,2019-11-11 17:22:31,2019-11-11 18:02:56
203,35,2019-11-11 18:39:06,2019-11-11 19:13:55
204,23,2019-11-12 16:10:05,2019-11-12 16:27:39
205,12,2019-11-11 08:57:44,2019-11-11 09:06:00
206,17,2019-11-11 09:03:47,2019-11-11 09:28:29
207,18,2019-11-12 14:37:38,2019-11-12 15:17:11
208,87,2019-11-11 09:54:18,2019-11-11 10:42:27
209,19,2019-11-11 12:14:19,2019-11-11 12:38:54
210,6,2019-11-11 17:14:01,2019-11-11 17:21:52
211,24,2019-11-10 18:43:29,2019-11-10 19:09:58
212,23,2019-11-11 09:39:21,2019-11-11 10:07:04
213,27,2019-11-11 09:32:49,2019-11-11 10:00:32
214,10,2019-11-11 10:05:14,2019-11-11 10:15:12
215,50,2019-11-11 17:55:33,2019-11-11 19:11:46
216,17,2019-11-11 08:11:44,2019-11-11 08:37:53
217,3,2019-11-11 10:33:52,2019-11-11 10:36:27
218,13,2019-11-11 09:52:32,2019-11-11 10:13:03
219,44,2019-11-11 15:30:17,2019-11-11 16:19:18
220,40,2019-11-11 12:36:25,2019-11-11 13:43:05
221,33,2019-11-12 08:36:49,2019-11-12 09:08:12
222,11,2019-11-11 12:24:55,2019-11-11 12:39:39
223,28,2019-11-11 08:04:57,2019-11-11 08:30:27
224,36,2019-11-11 15:20:06,2019-11-11 15:55:55
225,40,2019-11-11 13:23:18,2019-11-11 14:11:33
226,91,2019-11-11 10:46:57,2019-11-11 12:07:46
227,23,2019-11-11 08:45:25,2019-11-11 09:07:23
228,46,2019-11-11 09:48:02,2019-11-11 10:14:43
229,21,2019-11-11 10:17:59,2019-11-11 10:40:15
230,45,2019-11-13 13:32:16,2019-11-13 14:13:10
231,49,2019-11-11 09:38:56,2019-11-11 10:52:58
232,33,2019-11-11 11:13:07,2019-11-11 11:30:26
233,13,2019-11-12 12:13:20,2019-11-12 12:18:31
234,23,2019-11-11 09:04:19,2019-11-11 09:30:21
235,26,2019-11-11 16:33:06,2019-11-11 16:46:18
236,53,2019-11-11 08:40:28,2019-11-11 09:30:58
237,39,2019-11-11 14:56:28,2019-11-11 15:22:01
238,38,2019-11-11 11:20:52,2019-11-11 12:01:59
239,55,2019-11-11 08:35:06,2019-11-11 09:57:04
240,43,2019-11-11 19:36:22,2019-11-11 20:49:49
241,43,2019-11-11 15:25:37,2019-11-11 16:02:55
242,41,2019-11-11 08:26:02,2019-11-11 08:51:00
243,19,2019-11-11 08:56:47,2019-11-11 09:11:54
244,33,2019-11-11 08:03:22,2019-11-11 08:29:07
245,24,2019-11-12 12:55:43,2019-11-12 13:12:36
246,56,2019-11-11 09:39:15,2019-11-11 10:41:56
247,12,2019-11-11 09:50:22,2019-11-11 09:59:41
248,28,2019-11-11 08:27:08,2019-11-11 08:57:37
249,29,2019-11-11 09:56:52,2019-11-11 10:21:39
250,13,2019-11-12 18:42:42,2019-11-12 18:57:42
251,33,2019-11-11 19:24:16,2019-11-11 19:44:28
252,21,2019-11-11 12:43:48,2019-11-11 12:58:49
253,42,2019-11-11 15:08:49,2019-11-11 15:44:51
254,8,2019-11-11 10:33:55,2019-11-11 11:24:43
255,37,2019-11-11 08:45:55,2019-11-11 09:18:08
256,24,2019-11-11 09:39:42,2019-11-11 10:21:16
257,11,2019-11-11 11:01:23,2019-11-11 11:23:28
258,29,2019-11-11 18:46:26,2019-11-11 19:39:47
259,20,2019-11-12 13:54:18,2019-11-12 14:14:51
260,37,2019-11-11 17:06:57,2019-11-11 17:27:03
261,21,2019-11-11 10:22:02,2019-11-11 10:37:09
262,50,2019-11-11 20:49:01,2019-11-11 22:44:34
263,40,2019-11-11 08:43:07,2019-11-11 09:07:54
264,36,2019-11-11 10:04:38,2019-11-11 10:38:17
265,35,2019-11-11 19:23:54,2019-11-11 19:54:28
266,31,2019-11-11 20:09:51,2019-11-11 20:39:41
267,37,2019-11-11 16:08:21,2019-11-11 17:03:16
268,28,2019-11-16 09:32:58,2019-11-16 10:02:19
269,50,2019-11-11 15:08:52,2019-11-11 15:36:14
270,13,2019-11-11 18:23:40,2019-11-11 18:36:08
271,27,2019-11-11 16:20:20,2019-11-11 16:58:13
272,13,2019-11-10 13:24:37,2019-11-10 13:34:29
273,17,2019-11-11 09:56:02,2019-11-11 10:16:39
274,12,2019-11-11 18:29:23,2019-11-11 18:38:19
275,5,2019-11-11 10:03:54,2019-11-11 10:11:21
276,26,2019-11-11 09:03:54,2019-11-11 09:44:06
277,22,2019-11-11 10:06:45,2019-11-11 10:23:33
278,19,2019-11-11 09:31:48,2019-11-11 10:12:09
279,4,2019-11-11 10:59:53,2019-11-11 11:00:10
280,41,2019-11-11 13:18:00,2019-11-11 13:58:11
281,6,2019-11-11 10:05:57,2019-11-11 10:11:33
282,57,2019-11-11 17:49:38,2019-11-11 19:05:07
283,24,2019-11-11 11:58:34,2019-11-11 12:35:06
284,31,2019-11-11 13:23:02,2019-11-11 13:59:20
285,36,2019-11-11 12:17:15,2019-11-11 12:58:34
286,61,2019-11-11 15:13:59,2019-11-11 16:24:33
287,30,2019-11-11 14:40:15,2019-11-11 15:08:47
288,40,2019-11-11 16:29:03,2019-11-11 16:50:18
289,20,2019-11-11 09:43:01,2019-11-11 10:04:32
290,4,2019-11-11 10:15:48,2019-11-11 10:19:46
291,25,2019-11-11 13:13:12,2019-11-11 13:49:14
292,24,2019-11-11 10:01:10,2019-11-11 10:19:08
293,14,2019-11-11 15:01:06,2019-11-11 15:15:21
294,27,2019-11-11 08:41:32,2019-11-11 09:16:02
295,14,2019-11-11 08:21:24,2019-11-11 08:30:59
296,2,2019-11-11 09:20:05,2019-11-11 09:23:42
297,54,2019-11-11 08:49:29,2019-11-11 09:47:29
298,26,2019-11-11 17:21:54,2019-11-11 18:01:33
299,15,2019-11-11 10:44:41,2019-11-11 11:06:19
300,38,2019-11-11 08:34:18,2019-11-11 10:06:03
301,4,2019-11-11 09:09:38,2019-11-11 09:28:01
302,29,2019-11-13 12:37:47,2019-11-13 13:09:25
303,31,2019-11-11 09:56:15,2019-11-11 10:25:29
304,19,2019-11-11 09:14:35,2019-11-11 09:28:51
305,62,2019-11-11 14:22:09,2019-11-11 15:03:22
306,17,2019-11-12 18:36:08,2019-11-12 19:22:21
307,26,2019-11-11 08:24:43,2019-11-11 08:48:32
308,22,2019-11-11 14:30:14,2019-11-11 14:41:22
309,25,2019-11-11 11:07:00,2019-11-11 11:26:19
310,29,2019-11-11 20:27:00,2019-11-11 20:39:49
311,21,2019-11-11 09:29:49,2019-11-11 09:57:50
312,7,2019-11-11 11:39:15,2019-11-11 11:39:44
313,12,2019-11-11 13:22:40,2019-11-11 13:29:02
314,45,2019-11-11 16:35:23,2019-11-11 17:10:47
315,48,2019-11-11 12:57:55,2019-11-11 14:22:59
316,9,2019-11-11 09:56:10,2019-11-11 10:05:07
317,15,2019-11-11 22:19:41,2019-11-11 22:44:58
318,11,2019-11-11 09:09:20,2019-11-11 09:26:28
319,48,2019-11-11 12:19:40,2019-11-11 12:55:21
320,35,2019-11-11 19:11:58,2019-11-11 20:04:42
321,2,2019-11-11 17:59:42,2019-11-11 18:02:54
322,12,2019-11-11 15:58:04,2019-11-11 16:18:12
323,52,2019-11-11 11:33:16,2019-11-11 12:01:12
324,27,2019-11-11 09:56:20,2019-11-11 10:24:03
325,17,2019-11-11 15:02:40,2019-11-11 15:11:56
326,27,2019-11-11 18:05:08,2019-11-11 18:30:20
327,24,2019-11-11 13:32:01,2019-11-11 13:51:45
328,29,2019-11-11 12:09:23,2019-11-11 12:32:51
329,74,2019-11-11 09:41:46,2019-11-11 11:53:24
330,33,2019-11-11 14:59:23,2019-11-11 15:38:56
331,23,2019-11-11 17:51:15,2019-11-11 18:39:39
332,12,2019-11-11 15:49:10,2019-11-11 16:12:15
333,32,2019-11-11 12:27:54,2019-11-11 12:56:46
334,68,2019-11-11 12:18:09,2019-11-11 12:56:49
335,32,2019-11-11 09:19:49,2019-11-11 09:44:12
336,14,2019-11-11 10:20:23,2019-11-11 10:43:10
337,44,2019-11-11 18:07:30,2019-11-11 18:42:35
338,27,2019-11-11 10:24:57,2019-11-11 10:44:45
339,53,2019-11-11 17:18:56,2019-11-11 18:22:22
340,54,2019-11-11 15:27:32,2019-11-11 16:21:53
341,45,2019-11-11 12:15:20,2019-11-11 13:06:14
342,3,2019-11-14 10:16:25,2019-11-14 10:40:21
343,36,2019-11-11 10:27:41,2019-11-11 11:19:43
344,97,2019-11-11 10:48:30,2019-11-11 11:55:02
345,22,2019-11-11 16:38:40,2019-11-11 16:57:10
346,6,2019-11-11 09:55:40,2019-11-11 10:06:55
347,21,2019-11-11 12:12:52,2019-11-11 12:26:03
348,9,2019-11-11 12:47:27,2019-11-11 13:06:54
349,53,2019-11-11 15:20:16,2019-11-11 15:49:19
350,21,2019-11-11 13:12:34,2019-11-11 13:42:06
351,26,2019-11-11 08:26:10,2019-11-11 08:41:40
352,23,2019-11-11 11:22:03,2019-11-11 11:47:14
353,26,2019-11-11 17:20:01,2019-11-11 18:11:00
354,23,2019-11-11 08:13:15,2019-11-11 09:05:07
355,56,2019-11-11 08:59:59,2019-11-11 09:25:12
356,12,2019-11-11 10:39:50,2019-11-11 10:57:50
357,49,2019-11-11 08:36:23,2019-11-11 09:16:22
358,50,2019-11-11 11:15:01,2019-11-11 12:09:33
359,13,2019-11-11 10:43:09,2019-11-11 11:03:13
360,33,2019-11-11 14:39:18,2019-11-11 15:22:17
361,23,2019-11-11 18:03:34,2019-11-11 18:36:22
362,24,2019-11-11 19:24:05,2019-11-11 20:02:39
363,64,2019-11-11 13:47:46,2019-11-11 14:14:43
364,43,2019-11-11 17:24:33,2019-11-11 18:03:06
365,34,2019-11-11 11:10:53,2019-11-11 11:39:07
366,84,2019-11-11 09:07:55,2019-11-11 09:52:38
367,19,2019-11-15 12:15:48,2019-11-15 12:36:42
368,4,2019-11-11 12:52:16,2019-11-11 12:54:49
369,18,2019-11-11 10:07:04,2019-11-11 10:18:23
370,25,2019-11-11 09:02:53,2019-11-11 09:26:03
371,12,2019-11-11 09:07:51,2019-11-11 09:15:03
372,17,2019-11-11 09:05:21,2019-11-11 09:20:12
373,40,2019-11-12 16:54:46,2019-11-12 17:26:19
374,35,2019-11-11 11:56:49,2019-11-11 12:29:55
375,54,2019-11-11 12:34:08,2019-11-11 13:23:55
376,9,2019-11-11 10:19:38,2019-11-11 10:30:39
377,19,2019-11-11 08:28:29,2019-11-11 08:39:25
378,4,2019-11-11 10:45:01,2019-11-11 10:48:07
379,16,2019-11-11 09:54:55,2019-11-11 10:10:09
380,37,2019-11-11 12:10:25,2019-11-11 13:11:24
381,44,2019-11-11 12:09:30,2019-11-11 12:43:22
382,29,2019-11-11 10:16:39,2019-11-11 10:38:48
383,29,2019-11-11 10:39:10,2019-11-11 11:10:23
384,32,2019-11-11 08:30:14,2019-11-11 08:53:50
385,21,2019-11-11 14:28:00,2019-11-11 14:43:51
386,14,2019-11-11 09:38:43,2019-11-11 10:39:57
387,26,2019-11-11 09:44:09,2019-11-11 10:11:26
388,12,2019-11-11 16:40:19,2019-11-11 16:47:03
389,95,2019-11-11 08:34:25,2019-11-11 09:17:20
390,15,2019-11-11 09:55:20,2019-11-11 10:20:16
391,30,2019-11-11 13:11:26,2019-11-11 13:33:20
392,25,2019-11-11 11:32:37,2019-11-11 11:53:52
393,26,2019-11-11 09:53:44,2019-11-11 10:22:34
394,31,2019-11-11 16:13:01,2019-11-11 16:41:18
395,25,2019-11-11 11:49:52,2019-11-11 12:13:08
396,40,2019-11-11 10:43:31,2019-11-11 11:08:30
397,46,2019-11-11 11:39:56,2019-11-11 12:21:06
398,3,2019-11-11 08:41:08,2019-11-11 08:44:12
399,62,2019-11-13 17:27:56,2019-11-13 18:20:10
400,12,2019-11-11 12:24:18,2019-11-11 12:36:22
401,11,2019-11-11 13:21:58,2019-11-11 13:45:27
402,16,2019-11-11 15:44:48,2019-11-11 16:04:18
403,61,2019-11-11 20:38:18,2019-11-11 21:17:34
404,35,2019-11-11 17:47:00,2019-11-11 18:18:40
405,29,2019-11-11 10:33:58,2019-11-11 11:12:43
406,30,2019-11-11 10:08:45,2019-11-11 11:09:53
407,8,2019-11-11 17:57:12,2019-11-11 18:04:08
408,17,2019-11-11 12:07:33,2019-11-11 12:31:39
409,63,2019-11-11 10:21:03,2019-11-11 11:18:15
410,23,2019-11-11 08:28:23,2019-11-11 08:44:10
411,22,2019-11-12 10:10:30,2019-11-12 10:28:01
412,22,2019-11-11 09:09:34,2019-11-11 09:50:47
413,31,2019-11-12 18:34:38,2019-11-12 19:51:48
414,13,2019-11-11 15:47:28,2019-11-11 16:08:29
415,83,2019-11-11 10:58:57,2019-11-11 11:57:02
416,59,2019-11-12 19:37:19,2019-11-12 20:08:53
417,21,2019-11-11 08:40:25,2019-11-11 09:26:47
418,12,2019-11-11 11:08:09,2019-11-11 11:26:54
419,23,2019-11-11 09:42:52,2019-11-11 10:04:30
420,31,2019-11-11 12:54:38,2019-11-11 13:33:52
421,28,2019-11-11 16:43:01,2019-11-11 17:06:32
422,54,2019-11-11 13:52:53,2019-11-11 14:24:39
423,19,2019-11-11 11:36:52,2019-11-11 12:05:17
424,12,2019-11-11 17:38:11,2019-11-11 18:10:39
425,37,2019-11-12 09:56:18,2019-11-12 10:24:39
426,20,2019-11-11 17:28:17,2019-11-11 17:41:15
427,51,2019-11-11 08:28:02,2019-11-11 09:08:43
428,28,2019-11-11 13:47:34,2019-11-11 14:13:30
429,40,2019-11-11 15:58:57,2019-11-11 16:30:33
430,13,2019-11-12 08:10:13,2019-11-12 08:25:45
431,7,2019-11-12 19:03:01,2019-11-12 19:09:10
432,35,2019-11-12 11:46:02,2019-11-12 12:14:35
433,17,2019-11-11 16:59:37,2019-11-11 17:26:22
434,2,2019-11-11 09:10:54,2019-11-11 09:10:56
435,32,2019-11-11 14:31:08,2019-11-11 14:55:39
436,46,2019-11-11 16:47:14,2019-11-11 17:36:52
437,14,2019-11-11 15:08:59,2019-11-11 15:18:17
438,29,2019-11-11 17:32:54,2019-11-11 18:06:14
439,23,2019-11-11 10:21:48,2019-11-11 10:34:49
440,30,2019-11-11 08:48:17,2019-11-11 10:29:02
441,43,2019-11-11 09:04:18,2019-11-11 09:45:22
442,6,2019-11-11 19:14:47,2019-11-11 19:24:29
443,30,2019-11-11 10:49:13,2019-11-11 10:58:10
444,24,2019-11-11 14:43:13,2019-11-11 15:02:56
445,49,2019-11-11 12:06:51,2019-11-11 12:35:26
446,27,2019-11-11 14:40:12,2019-11-11 15:40:36
447,20,2019-11-12 08:17:52,2019-11-12 08:49:29
448,26,2019-11-11 17:05:24,2019-11-11 17:25:40
449,38,2019-11-11 08:32:17,2019-11-11 08:57:53
450,17,2019-11-11 13:45:14,2019-11-11 14:04:25
451,27,2019-11-11 10:38:21,2019-11-11 11:25:39
452,25,2019-11-13 18:11:43,2019-11-13 18:29:59
453,35,2019-11-11 15:51:59,2019-11-11 16:49:30
454,75,2019-11-11 16:57:33,2019-11-11 18:40:38
455,67,2019-11-11 14:28:01,2019-11-11 15:28:30
456,28,2019-11-11 12:38:43,2019-11-11 13:03:12
457,5,2019-11-11 17:15:22,2019-11-11 17:24:19
458,15,2019-11-11 10:35:24,2019-11-11 10:46:41
459,29,2019-11-11 13:37:48,2019-11-11 13:57:41
460,25,2019-11-11 16:03:02,2019-11-11 16:20:05
461,26,2019-11-11 12:31:09,2019-11-11 12:58:11
462,9,2019-11-11 08:24:59,2019-11-11 08:50:55
463,14,2019-11-11 08:16:46,2019-11-11 08:28:43
464,13,2019-11-11 17:09:44,2019-11-11 17:21:54
465,2,2019-11-11 10:07:01,2019-11-11 10:36:26
